OptNumbPar.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.336, Time: 2.030384 s
         17964982 function calls (16789681 primitive calls) in 6.719 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  330/227    0.000    0.000    0.038    0.000 consts.py:56(_do_infer)
     1589    0.001    0.000    0.038    0.000 context.py:263(resolve_getattr)
6011/5943    0.005    0.000    0.038    0.000 copy.py:191(_deepcopy_list)
    79048    0.028    0.000    0.038    0.000 pprint.py:102(_safe_tuple)
       36    0.000    0.000    0.037    0.001 rangeobj.py:149(iternext)
     1846    0.003    0.000    0.037    0.000 values.py:973(descr_prototype)
       58    0.000    0.000    0.037    0.001 parfor.py:4119(maximize_fusion)
       74    0.000    0.000    0.037    0.000 untyped_passes.py:138(run_pass)
      257    0.000    0.000    0.037    0.000 errors.py:698(__init__)
    94399    0.022    0.000    0.037    0.000 targetconfig.py:111(getter)
      402    0.001    0.000    0.036    0.000 linker.py:5(link_modules)
        3    0.000    0.000    0.036    0.012 parfor_lowering.py:468(_lower_trivial_inplace_binops)
5678/5489    0.006    0.000    0.036    0.000 abstract.py:61(__call__)
       74    0.000    0.000    0.036    0.000 lowering.py:342(init)
        1    0.000    0.000    0.036    0.036 config.py:1(<module>)
    78/76    0.001    0.000    0.036    0.000 typeinfer.py:1041(build_constraint)
