OptCythonOMPRun.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.063, Time: 0.134559 s
         1019343 function calls (1004004 primitive calls) in 0.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 core.py:400(ParserElement)
       33    0.000    0.000    0.001    0.000 typing.py:1408(copy_with)
      663    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     5355    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       44    0.000    0.000    0.001    0.000 _base.py:66(__set_name__)
     27/7    0.000    0.000    0.001    0.000 core.py:4409(streamline)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
       79    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     2771    0.001    0.000    0.001    0.000 inspect.py:3066(<genexpr>)
      409    0.000    0.000    0.001    0.000 copy.py:247(_reconstruct)
     78/4    0.000    0.000    0.001    0.000 core.py:909(_parseCache)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     6226    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
       32    0.000    0.000    0.001    0.000 colors.py:409(to_rgba_array)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      651    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.001    0.001 _triinterpolate.py:1(<module>)
     5732    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
       92    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      793    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      327    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
